gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	-log10(padj)	DE_status	is_translocated
ENSG00000170689.10	119.105373863257	3.69640748330421	0.282723771244033	8.56083968902849e-40	1.98190856450078e-38	HOXB9	37.702916385596836	Up	True
ENSG00000104870.13	11.2022754225959	3.57256498450315	0.789378468450643	7.47397255209634e-07	3.17155064706017e-06	FCGRT	5.4987283488847964	Up	True
ENSG00000186868.18	213.074770218308	3.47449040024248	0.213917234987701	4.38687775316387e-60	1.66885059718768e-58	MAPT	57.77758254152403	Up	True
ENSG00000212724.3	6.00464364024984	3.43795210671034	1.44109097957067	0.0011431575478687	0.0032223223370544	KRTAP2-3	2.491831018168176	Up	True
ENSG00000131737.7	28.6575826142178	3.41794175206435	0.446511757556744	2.5998995720582702e-15	2.2114726285024502e-14	KRT34	13.655318431543716	Up	True
ENSG00000144681.11	647.740372330041	3.34596351795869	0.103267895784058	2.70082147823138e-231	8.519216193349009e-229	STAC	228.0696003604636	Up	True
ENSG00000079385.23	1808.12146699776	3.33599768950932	0.0950093198279384	2.48214279498537e-271	9.55456695201913e-269	CEACAM1	268.01978899198	Up	True
ENSG00000108244.17	685.660426250268	3.2258096878476	0.330370010440728	5.25788249035186e-23	6.70852636170681e-22	KRT23	21.173372869289487	Up	True
ENSG00000171051.10	88.7701877461885	3.15878874833568	0.243669024885957	2.30292262017571e-39	5.28299753806168e-38	FPR1	37.2771195916993	Up	True
ENSG00000113805.9	1772.60563719659	3.11278009097197	0.0864138083796608	5.57232645700792e-285	2.48143345421778e-282	CNTN3	281.6052973669924	Up	True
ENSG00000073605.19	208.953896598287	2.98905660833566	0.251384134546814	1.99218979402395e-33	3.83104338798289e-32	GSDMB	31.416682929443482	Up	True
ENSG00000144671.11	4.74073903965957	2.9838206360769	2.53591746775573	0.0048302866097904	0.0122052335552904	SLC22A14	1.913453905652499	Up	True
ENSG00000080031.10	58.2084974090856	2.95185979986209	0.523258597208118	3.5403263137119203e-09	1.91484522292716e-08	PTPRH	7.717866324329948	Up	True
ENSG00000012171.20	2021.40447427491	2.94910994731111	0.107617666076864	2.43995283728176e-166	4.90387335287663e-164	SEMA3B	163.30946075440667	Up	True
ENSG00000183691.6	111.51309676999	2.9480745983453	0.198992897111366	1.19788660133088e-50	3.7114873946556095e-49	NOG	48.430452010105455	Up	True
ENSG00000153551.14	1729.41123939975	2.8737677443897	0.0676760381574322	0.0	1e-300	CMTM7	300.0	Up	True
ENSG00000132170.24	1982.04787847401	2.87206751908381	0.0661857998885288	0.0	1e-300	PPARG	300.0	Up	True
ENSG00000178386.13	138.201612439271	2.86329888749287	0.235391212135605	6.2765713459103e-35	1.26708632743972e-33	ZNF223	32.89719379533478	Up	True
ENSG00000129455.16	18.6643696233139	2.8459275448736	0.514159915235095	2.87499213798424e-09	1.57069873576522e-08	KLK8	7.803907105820268	Up	True
ENSG00000114378.17	101.341826564063	2.75768453546351	0.23304461422311	3.3038820078183e-33	6.3054171663497e-32	HYAL1	31.200286175220896	Up	True
ENSG00000160471.13	154.210044961572	2.74285745440792	0.303466882279495	3.02006423685881e-20	3.40221621444942e-19	COX6B2	18.468238089971397	Up	True
