gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	-log10(padj)	DE_status	is_translocated
ENSG00000138311.18	160.051139613198	-2.65954774654405	0.263408905441206	1.37939159830704e-24	6.21944859820351e-24	ZNF365	23.206248117137584	Down	True
ENSG00000181045.15	71.1976222480724	-2.65247586994366	0.290278369800469	1.14502026305591e-20	4.65781035182925e-20	SLC26A11	19.331818198246765	Down	True
ENSG00000114166.8	310.684259338221	-2.65014498320988	0.150146470499568	2.02245841138813e-70	2.19770588426009e-69	KAT2B	68.65803042901427	Down	True
ENSG00000138182.15	5599.23220696153	-2.63180304968362	0.0662298968162168	0.0	1e-300	KIF20B	300.0	Down	True
ENSG00000198924.8	1145.71108389869	-2.59681540175698	0.0919929251526524	4.72836352279835e-176	1.93488043182475e-174	DCLRE1A	173.71334586754594	Down	True
ENSG00000144642.22	269.795954732209	-2.58069603059009	0.161719250226156	5.7130428649118995e-58	5.05843729064383e-57	RBMS3	56.2959836295775	Down	True
ENSG00000243137.8	20.8225906223321	-2.57575685869615	0.548347773161226	5.38922554156198e-07	1.28094925457262e-06	PSG4	5.892468074701543	Down	True
ENSG00000179029.15	379.806082641729	-2.57061174083873	0.134133771987446	1.49397516044554e-82	1.9366249925159099e-81	TMEM107	80.71295446779324	Down	True
ENSG00000166171.13	539.33904108733	-2.56143528745192	0.135592913490081	2.63761690913877e-80	3.31504801457945e-79	DPCD	78.47951017696784	Down	True
ENSG00000074219.14	792.483510392853	-2.5599475850852	0.12422186931541	5.04694126584159e-95	7.78147203588108e-94	TEAD2	93.10893823892445	Down	True
ENSG00000106069.26	91.8461790376437	-2.55554564612269	0.274508323084476	2.66785785365669e-21	1.1062574349899001e-20	CHN2	19.95614379745639	Down	True
ENSG00000178999.13	2606.94374044714	-2.55208781743787	0.0652655033130423	0.0	1e-300	AURKB	300.0	Down	True
ENSG00000185008.19	4.66101923746121	-2.55042540853104	1.47844518026986	0.0087306305610423	0.0147245916138298	ROBO2	1.8319567415201283	Down	True
ENSG00000115363.14	591.418759735658	-2.53354862845615	0.123655011023851	5.965820040496949e-94	9.074999259191299e-93	EVA1A	92.0421534017441	Down	True
ENSG00000157214.14	179.799482090705	-2.52625711919593	0.175336399557236	9.23303218584474e-48	6.85265993374902e-47	STEAP2	46.164140819701764	Down	True
ENSG00000105329.11	1125.92104032242	-2.52078969099513	0.098519157707071	3.4096765939812604e-145	9.8145963404193e-144	TGFB1	143.00812755757528	Down	True
ENSG00000198954.9	1975.06366842959	-2.49740340660081	0.0851109546566579	3.43880543218075e-190	1.57140261911986e-188	KIFBP	187.80371252733445	Down	True
ENSG00000115380.20	8277.08423467735	-2.49658624683274	0.0637095009164607	0.0	1e-300	EFEMP1	300.0	Down	True
ENSG00000185614.7	198.050391774555	-2.49620207520451	0.187429736417437	4.21288049412815e-41	2.7509697786700498e-40	INKA1	39.5605141806132	Down	True
ENSG00000082014.17	112.372045135027	-2.48034413000479	0.243189377177791	4.79747586384613e-25	2.18435193151182e-24	SMARCD3	23.66067738904405	Down	True
ENSG00000167525.15	32.9664177355513	-2.45762784120786	0.447178919416601	9.864902018428751e-09	2.58469992778652e-08	PROCA1	7.58758986930929	Down	True
ENSG00000164087.8	943.314161210809	-2.4342778430138	0.103361737870477	2.37139171283435e-123	5.35354644037583e-122	POC1A	121.2713584256007	Down	True
ENSG00000165996.14	475.289976976674	-2.42860677110627	0.12804120733625	7.53529348932359e-81	9.56056147687308e-80	HACD1	79.01951660153695	Down	True
